"Date","Price","Open","High","Low","Vol.","Change %"
"22-03-2023","6,928.00","6,850.00","7,048.00","6,836.00","2.52K","0.67%"
"21-03-2023","6,882.00","6,800.00","6,888.00","6,774.00","1.29K","1.30%"
"20-03-2023","6,794.00","6,740.00","6,832.00","6,730.00","1.22K","1.16%"
"17-03-2023","6,716.00","6,760.00","6,780.00","6,668.00","1.05K","-0.27%"
"16-03-2023","6,734.00","6,776.00","6,776.00","6,670.00","0.94K","-0.62%"
"15-03-2023","6,776.00","6,818.00","6,818.00","6,700.00","1.16K","-0.15%"
"14-03-2023","6,786.00","6,770.00","6,822.00","6,738.00","1.23K","0.21%"
"13-03-2023","6,772.00","6,900.00","6,900.00","6,730.00","2.42K","-2.05%"
"10-03-2023","6,914.00","6,900.00","7,036.00","6,894.00","1.85K","0.12%"
"09-03-2023","6,906.00","6,886.00","6,922.00","6,850.00","0.91K","-0.17%"
"08-03-2023","6,918.00","6,900.00","6,928.00","6,840.00","1.08K","0.12%"
"06-03-2023","6,910.00","6,950.00","6,986.00","6,884.00","0.92K","-0.86%"
"03-03-2023","6,970.00","7,072.00","7,072.00","6,876.00","1.85K","-1.02%"
"02-03-2023","7,042.00","7,130.00","7,154.00","7,026.00","0.76K","-1.18%"
"01-03-2023","7,126.00","7,188.00","7,244.00","7,082.00","1.69K","-0.64%"
"28-02-2023","7,172.00","7,054.00","7,188.00","7,054.00","1.89K","1.82%"
"27-02-2023","7,044.00","7,082.00","7,090.00","7,002.00","1.01K","-0.65%"
"24-02-2023","7,090.00","7,206.00","7,280.00","7,050.00","2.06K","-1.58%"
"23-02-2023","7,204.00","7,040.00","7,238.00","6,966.00","2.66K","2.33%"
"22-02-2023","7,040.00","7,108.00","7,126.00","6,960.00","1.72K","-0.79%"
"21-02-2023","7,096.00","7,128.00","7,200.00","7,022.00","2.38K","0.57%"
"20-02-2023","7,056.00","6,864.00","7,092.00","6,800.00","1.73K","1.55%"
"17-02-2023","6,948.00","6,920.00","6,992.00","6,880.00","0.68K","0.09%"
"16-02-2023","6,942.00","7,076.00","7,098.00","6,900.00","1.53K","-1.56%"
"15-02-2023","7,052.00","6,900.00","7,056.00","6,842.00","1.81K","2.35%"
